filename,folder,true_mood,predicted_top1,predicted_top3,top1_confidence,correct_top1,correct_top3
cozy_6.avif,cozy_intimate,cozy_intimate,cozy_intimate,"cozy_intimate,romantic_dreamy,chill_relaxed",0.7423,True,True
cozy_7.avif,cozy_intimate,cozy_intimate,chill_relaxed,"chill_relaxed,cozy_intimate,nostalgic",0.6618,False,True
cozy_8.avif,cozy_intimate,cozy_intimate,cozy_intimate,"cozy_intimate,romantic_dreamy,chill_relaxed",0.8769,True,True
cool_1.avif,edgy_cool,edgy_cool,edgy_cool,"edgy_cool,nostalgic,moody_dark",0.2844,True,True
cool_2.avif,edgy_cool,edgy_cool,edgy_cool,"edgy_cool,cozy_intimate,chill_relaxed",0.8321,True,True
cool_3.avif,edgy_cool,edgy_cool,edgy_cool,"edgy_cool,energetic_party,chill_relaxed",0.4979,True,True
cool_4.avif,edgy_cool,edgy_cool,edgy_cool,"edgy_cool,chill_relaxed,moody_dark",0.9699,True,True
cool_5.avif,edgy_cool,edgy_cool,edgy_cool,"edgy_cool,cozy_intimate,moody_dark",0.6296,True,True
cool_6.avif,edgy_cool,edgy_cool,edgy_cool,"edgy_cool,moody_dark,nostalgic",0.6007,True,True
cool_7.avif,edgy_cool,edgy_cool,edgy_cool,"edgy_cool,cozy_intimate,nostalgic",0.9353,True,True
cool_8.avif,edgy_cool,edgy_cool,edgy_cool,"edgy_cool,melancholic,moody_dark",0.9121,True,True
party_1.avif,energetic_party,energetic_party,energetic_party,"energetic_party,happy_upbeat,ethereal",0.9974,True,True
party_2.avif,energetic_party,energetic_party,energetic_party,"energetic_party,happy_upbeat,cozy_intimate",0.9957,True,True
party_3.avif,energetic_party,energetic_party,energetic_party,"energetic_party,happy_upbeat,ethereal",0.7899,True,True
party_4.avif,energetic_party,energetic_party,energetic_party,"energetic_party,happy_upbeat,fun_playful",0.9789,True,True
party_5.avif,energetic_party,energetic_party,energetic_party,"energetic_party,happy_upbeat,fun_playful",0.9769,True,True
party_6.avif,energetic_party,energetic_party,energetic_party,"energetic_party,fun_playful,happy_upbeat",0.9914,True,True
party_7.avif,energetic_party,energetic_party,fun_playful,"fun_playful,energetic_party,happy_upbeat",0.8774,False,True
party_8.avif,energetic_party,energetic_party,energetic_party,"energetic_party,fun_playful,happy_upbeat",0.9683,True,True
ethereal_1.avif,ethereal,ethereal,adventurous,"adventurous,ethereal,moody_dark",0.4301,False,True
ethereal_2.avif,ethereal,ethereal,chill_relaxed,"chill_relaxed,adventurous,romantic_dreamy",0.2619,False,False
ethereal_3.avif,ethereal,ethereal,ethereal,"ethereal,romantic_dreamy,nostalgic",0.4029,True,True
ethereal_4.avif,ethereal,ethereal,melancholic,"melancholic,adventurous,ethereal",0.2293,False,True
ethereal_5.avif,ethereal,ethereal,romantic_dreamy,"romantic_dreamy,ethereal,melancholic",0.6851,False,True
ethereal_6.avif,ethereal,ethereal,ethereal,"ethereal,adventurous,melancholic",0.531,True,True
ethereal_7.avif,ethereal,ethereal,ethereal,"ethereal,cozy_intimate,romantic_dreamy",0.86,True,True
ethereal_8.avif,ethereal,ethereal,romantic_dreamy,"romantic_dreamy,ethereal,melancholic",0.5428,False,True
fun_1.avif,fun_playful,fun_playful,happy_upbeat,"happy_upbeat,fun_playful,energetic_party",0.4634,False,True
fun_2.avif,fun_playful,fun_playful,fun_playful,"fun_playful,happy_upbeat,cozy_intimate",0.5435,True,True
fun_3.avif,fun_playful,fun_playful,happy_upbeat,"happy_upbeat,energetic_party,fun_playful",0.6066,False,True
fun_4.avif,fun_playful,fun_playful,happy_upbeat,"happy_upbeat,energetic_party,fun_playful",0.8098,False,True
fun_5.avif,fun_playful,fun_playful,happy_upbeat,"happy_upbeat,energetic_party,fun_playful",0.6861,False,True
fun_6.avif,fun_playful,fun_playful,fun_playful,"fun_playful,happy_upbeat,energetic_party",0.5625,True,True
fun_7.avif,fun_playful,fun_playful,happy_upbeat,"happy_upbeat,fun_playful,energetic_party",0.6429,False,True
fun_8.avif,fun_playful,fun_playful,energetic_party,"energetic_party,fun_playful,happy_upbeat",0.885,False,True
happy_1.avif,happy_upbeat,happy_upbeat,happy_upbeat,"happy_upbeat,fun_playful,adventurous",0.8053,True,True
happy_2.avif,happy_upbeat,happy_upbeat,happy_upbeat,"happy_upbeat,fun_playful,energetic_party",0.8745,True,True
happy_3.avif,happy_upbeat,happy_upbeat,fun_playful,"fun_playful,happy_upbeat,nostalgic",0.6808,False,True
happy_4.avif,happy_upbeat,happy_upbeat,energetic_party,"energetic_party,fun_playful,happy_upbeat",0.6414,False,True
happy_5.avif,happy_upbeat,happy_upbeat,happy_upbeat,"happy_upbeat,fun_playful,energetic_party",0.5979,True,True
happy_6.avif,happy_upbeat,happy_upbeat,fun_playful,"fun_playful,happy_upbeat,chill_relaxed",0.3881,False,True
happy_7.avif,happy_upbeat,happy_upbeat,happy_upbeat,"happy_upbeat,fun_playful,chill_relaxed",0.8804,True,True
happy_8.avif,happy_upbeat,happy_upbeat,happy_upbeat,"happy_upbeat,fun_playful,energetic_party",0.8365,True,True
melancholic_1.avif,melancholic,melancholic,cozy_intimate,"cozy_intimate,chill_relaxed,melancholic",0.499,False,True
melancholic_2.avif,melancholic,melancholic,melancholic,"melancholic,romantic_dreamy,chill_relaxed",0.7643,True,True
melancholic_3.avif,melancholic,melancholic,moody_dark,"moody_dark,melancholic,ethereal",0.5502,False,True
melancholic_4.avif,melancholic,melancholic,melancholic,"melancholic,moody_dark,romantic_dreamy",0.5432,True,True
melancholic_5.avif,melancholic,melancholic,melancholic,"melancholic,moody_dark,ethereal",0.7688,True,True
melancholic_6.avif,melancholic,melancholic,melancholic,"melancholic,moody_dark,adventurous",0.5589,True,True
melancholic_7.avif,melancholic,melancholic,melancholic,"melancholic,moody_dark,chill_relaxed",0.8644,True,True
melancholic_8.avif,melancholic,melancholic,cozy_intimate,"cozy_intimate,romantic_dreamy,melancholic",0.5659,False,True
moody_1.avif,moody_dark,moody_dark,moody_dark,"moody_dark,melancholic,chill_relaxed",0.9313,True,True
moody_2.avif,moody_dark,moody_dark,moody_dark,"moody_dark,melancholic,chill_relaxed",0.4248,True,True
moody_3.avif,moody_dark,moody_dark,moody_dark,"moody_dark,adventurous,melancholic",0.586,True,True
moody_4.avif,moody_dark,moody_dark,moody_dark,"moody_dark,melancholic,ethereal",0.9484,True,True
moody_5.avif,moody_dark,moody_dark,moody_dark,"moody_dark,melancholic,romantic_dreamy",0.9862,True,True
moody_6.avif,moody_dark,moody_dark,moody_dark,"moody_dark,melancholic,ethereal",0.9933,True,True
moody_7.avif,moody_dark,moody_dark,moody_dark,"moody_dark,melancholic,ethereal",0.9708,True,True
moody_8.avif,moody_dark,moody_dark,moody_dark,"moody_dark,chill_relaxed,adventurous",0.5616,True,True
nostalgic_1.avif,nostalgic,nostalgic,nostalgic,"nostalgic,melancholic,romantic_dreamy",0.4076,True,True
nostalgic_2.avif,nostalgic,nostalgic,happy_upbeat,"happy_upbeat,nostalgic,fun_playful",0.3117,False,True
nostalgic_3.avif,nostalgic,nostalgic,romantic_dreamy,"romantic_dreamy,nostalgic,cozy_intimate",0.3531,False,True
nostalgic_4.avif,nostalgic,nostalgic,nostalgic,"nostalgic,chill_relaxed,edgy_cool",0.9971,True,True
nostalgic_5.avif,nostalgic,nostalgic,chill_relaxed,"chill_relaxed,nostalgic,melancholic",0.7017,False,True
nostalgic_6.avif,nostalgic,nostalgic,nostalgic,"nostalgic,cozy_intimate,moody_dark",0.4253,True,True
nostalgic_7.avif,nostalgic,nostalgic,nostalgic,"nostalgic,fun_playful,romantic_dreamy",0.6894,True,True
nostalgic_8.avif,nostalgic,nostalgic,chill_relaxed,"chill_relaxed,melancholic,romantic_dreamy",0.4071,False,False
romantic_1.avif,romantic_dreamy,romantic_dreamy,cozy_intimate,"cozy_intimate,romantic_dreamy,chill_relaxed",0.9128,False,True
romantic_2.avif,romantic_dreamy,romantic_dreamy,romantic_dreamy,"romantic_dreamy,chill_relaxed,cozy_intimate",0.7385,True,True
romantic_3.avif,romantic_dreamy,romantic_dreamy,romantic_dreamy,"romantic_dreamy,chill_relaxed,cozy_intimate",0.7435,True,True
romantic_4.avif,romantic_dreamy,romantic_dreamy,adventurous,"adventurous,chill_relaxed,cozy_intimate",0.9119,False,False
romantic_5.avif,romantic_dreamy,romantic_dreamy,chill_relaxed,"chill_relaxed,melancholic,romantic_dreamy",0.6377,False,True
romantic_6.avif,romantic_dreamy,romantic_dreamy,chill_relaxed,"chill_relaxed,romantic_dreamy,adventurous",0.6438,False,True
romantic_7.avif,romantic_dreamy,romantic_dreamy,romantic_dreamy,"romantic_dreamy,ethereal,chill_relaxed",0.5614,True,True
romantic_8.avif,romantic_dreamy,romantic_dreamy,romantic_dreamy,"romantic_dreamy,chill_relaxed,fun_playful",0.5548,True,True
